frame,label,confidence,x1,y1,x2,y2
8,dining table,0.570686399936676,695,772,1916,1077
8,person,0.49836066365242004,306,377,639,713
8,chair,0.48507794737815857,86,396,255,497
8,chair,0.40797916054725647,95,396,295,734
9,person,0.8823626637458801,478,79,700,653
9,person,0.8776795864105225,1062,435,1650,964
9,person,0.8451531529426575,1397,315,1690,584
9,person,0.75445157289505,305,376,653,1067
9,dining table,0.5639236569404602,695,772,1916,1076
9,person,0.48276057839393616,307,377,639,713
9,chair,0.45184484124183655,86,396,254,497
10,person,0.8803208470344543,1065,432,1649,970
10,person,0.8800337910652161,477,79,699,653
10,person,0.8058343529701233,1398,315,1690,582
10,person,0.7384240031242371,304,376,654,1067
10,dining table,0.5491262674331665,695,771,1916,1076
10,person,0.5389536619186401,307,377,639,712
10,chair,0.48609694838523865,85,396,254,497
11,person,0.8776012063026428,1065,432,1649,971
11,person,0.8707066178321838,476,76,698,634
11,person,0.8083418011665344,1397,317,1690,584
11,person,0.7474851012229919,305,376,653,1067
11,dining table,0.5585042238235474,694,771,1916,1076
11,person,0.5184451341629028,307,377,638,713
12,person,0.8755130767822266,1061,430,1643,967
12,person,0.8697260022163391,475,76,697,633
12,person,0.7482180595397949,305,377,653,1067
12,person,0.7213632464408875,1396,316,1691,582
12,dining table,0.5696146488189697,699,770,1916,1076
12,person,0.514126181602478,307,378,638,713
12,chair,0.40039917826652527,84,396,253,499
13,person,0.8767460584640503,1060,431,1643,967
13,person,0.8667324781417847,474,77,696,634
13,person,0.7191218137741089,302,378,656,1068
13,person,0.7057030200958252,1395,318,1690,586
13,person,0.581497848033905,308,380,639,713
13,dining table,0.5583145618438721,700,770,1916,1076
13,chair,0.42930835485458374,84,397,253,499
14,person,0.8791975975036621,1060,430,1644,968
14,person,0.8619354963302612,473,77,694,630
14,person,0.7006924748420715,301,381,659,1068
14,person,0.6431193351745605,1396,318,1690,573
14,person,0.5992922782897949,308,382,640,714
14,dining table,0.5387715697288513,697,772,1916,1077
15,person,0.8808727860450745,1061,430,1643,968
15,person,0.8625703454017639,471,78,692,632
15,person,0.7125915288925171,306,382,657,1067
15,person,0.6576182842254639,1398,319,1688,570
15,person,0.5662903189659119,308,383,640,715
15,dining table,0.5327787399291992,700,773,1916,1077
16,person,0.8807780742645264,1059,431,1643,968
16,person,0.858411967754364,470,79,692,630
16,person,0.755418062210083,308,383,653,1067
16,person,0.6851382255554199,1396,320,1690,575
16,dining table,0.5358815789222717,704,772,1916,1077
16,backpack,0.41372790932655334,1708,671,1901,857
17,person,0.8805798292160034,1061,437,1647,970
17,person,0.859216570854187,470,80,692,630
17,person,0.7494714856147766,310,383,653,1066
17,person,0.6820885539054871,1394,320,1690,581
17,dining table,0.5469503998756409,708,773,1916,1077
17,chair,0.40516072511672974,83,399,252,501
18,person,0.8819584846496582,1062,439,1646,970
18,person,0.8574539422988892,468,80,690,628
18,person,0.7630525231361389,312,384,653,1066
18,person,0.6966800093650818,1393,322,1689,583
18,dining table,0.5611773729324341,708,775,1916,1077
18,chair,0.4577561616897583,83,399,253,501
18,chair,0.41649964451789856,252,537,351,717
19,person,0.8848716616630554,1061,439,1645,971
19,person,0.8586185574531555,468,84,688,658
19,person,0.7496520280838013,314,383,653,1066
19,person,0.7014381289482117,1392,324,1689,582
