video_name,camera_id,frame,timestamp_rel,timestamp_abs,track_id,x1,y1,x2,y2,bbox_area
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.613620,7,285,66,324,133,2613
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.613620,9,248,158,315,239,5427
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,1,441,135,520,289,12166
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,2,505,203,573,318,7820
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,3,95,38,140,87,2205
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,4,251,104,316,174,4550
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,5,250,235,339,332,8633
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,6,347,114,421,230,8584
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,7,285,68,324,133,2535
exam scene1.mp4,0,13,0.4,2025-12-26 22:06:38.458024,9,248,158,316,240,5576
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,1,440,133,521,289,12636
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,2,505,203,573,318,7820
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,3,95,38,140,87,2205
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,4,250,104,316,174,4620
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,5,250,235,340,332,8730
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,6,347,114,421,230,8584
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,7,285,68,324,134,2574
exam scene1.mp4,0,14,0.43333333333333335,2025-12-26 22:06:39.296184,9,248,158,316,240,5576
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,1,440,132,520,289,12560
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,2,505,203,573,318,7820
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,3,95,38,140,87,2205
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,4,250,104,316,174,4620
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,5,250,235,340,332,8730
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,6,347,114,421,231,8658
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,7,285,67,324,134,2613
exam scene1.mp4,0,15,0.4666666666666667,2025-12-26 22:06:40.401932,9,247,158,316,240,5658
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,1,439,132,519,289,12560
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,2,505,203,573,318,7820
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,3,95,38,140,87,2205
