frame,person_id,type
76,2,Excessive Head Turn
76,2,Excessive Hand Movement
76,3,Excessive Head Turn
76,3,Excessive Hand Movement
77,1,Excessive Head Turn
77,1,Excessive Hand Movement
77,2,Excessive Head Turn
77,2,Excessive Hand Movement
77,3,Excessive Head Turn
77,3,Excessive Hand Movement
77,6,Excessive Head Turn
77,6,Excessive Hand Movement
78,1,Excessive Head Turn
78,1,Excessive Hand Movement
78,2,Excessive Head Turn
78,2,Excessive Hand Movement
78,3,Excessive Head Turn
78,3,Excessive Hand Movement
78,6,Excessive Head Turn
78,6,Excessive Hand Movement
79,1,Excessive Head Turn
79,1,Excessive Hand Movement
79,2,Excessive Head Turn
79,2,Excessive Hand Movement
79,3,Excessive Head Turn
79,3,Excessive Hand Movement
79,6,Excessive Head Turn
79,6,Excessive Hand Movement
80,1,Excessive Head Turn
80,1,Excessive Hand Movement
80,3,Excessive Head Turn
80,3,Excessive Hand Movement
80,6,Excessive Head Turn
80,6,Excessive Hand Movement
81,1,Excessive Head Turn
81,1,Excessive Hand Movement
81,2,Excessive Head Turn
81,2,Excessive Hand Movement
81,3,Excessive Head Turn
81,3,Excessive Hand Movement
81,6,Excessive Head Turn
81,6,Excessive Hand Movement
82,1,Excessive Head Turn
82,1,Excessive Hand Movement
82,2,Excessive Head Turn
82,2,Excessive Hand Movement
82,3,Excessive Head Turn
82,3,Excessive Hand Movement
82,6,Excessive Head Turn
82,6,Excessive Hand Movement
83,1,Excessive Head Turn
83,1,Excessive Hand Movement
83,3,Excessive Head Turn
83,3,Excessive Hand Movement
83,6,Excessive Head Turn
83,6,Excessive Hand Movement
84,1,Excessive Head Turn
84,1,Excessive Hand Movement
84,2,Excessive Head Turn
84,2,Excessive Hand Movement
84,3,Excessive Head Turn
84,3,Excessive Hand Movement
84,6,Excessive Head Turn
84,6,Excessive Hand Movement
85,1,Excessive Head Turn
85,1,Excessive Hand Movement
85,2,Excessive Head Turn
85,2,Excessive Hand Movement
85,3,Excessive Head Turn
85,3,Excessive Hand Movement
85,6,Excessive Head Turn
85,6,Excessive Hand Movement
86,1,Excessive Head Turn
86,1,Excessive Hand Movement
86,3,Excessive Head Turn
86,3,Excessive Hand Movement
86,6,Excessive Head Turn
86,6,Excessive Hand Movement
87,1,Excessive Head Turn
87,1,Excessive Hand Movement
87,2,Excessive Head Turn
87,2,Excessive Hand Movement
87,3,Excessive Head Turn
87,3,Excessive Hand Movement
87,6,Excessive Head Turn
87,6,Excessive Hand Movement
88,1,Excessive Head Turn
88,1,Excessive Hand Movement
88,2,Excessive Head Turn
88,2,Excessive Hand Movement
88,3,Excessive Head Turn
88,3,Excessive Hand Movement
88,6,Excessive Head Turn
88,6,Excessive Hand Movement
89,2,Excessive Head Turn
89,2,Excessive Hand Movement
89,3,Excessive Head Turn
89,3,Excessive Hand Movement
89,6,Excessive Head Turn
89,6,Excessive Hand Movement
90,1,Excessive Head Turn
90,1,Excessive Hand Movement
90,2,Excessive Head Turn
90,2,Excessive Hand Movement
90,3,Excessive Head Turn
90,3,Excessive Hand Movement
90,6,Excessive Head Turn
90,6,Excessive Hand Movement
91,1,Excessive Head Turn
91,1,Excessive Hand Movement
91,2,Excessive Head Turn
91,2,Excessive Hand Movement
91,3,Excessive Head Turn
91,3,Excessive Hand Movement
91,6,Excessive Head Turn
91,6,Excessive Hand Movement
