frame,track_id,x1,y1,x2,y2
34,3,94,38,140,87
34,4,251,105,317,175
34,5,254,238,336,323
34,6,349,116,420,229
34,7,287,74,325,131
34,8,292,31,335,79
34,9,245,158,314,241
34,10,409,36,444,78
34,11,166,70,213,150
34,18,54,146,167,257
34,19,436,92,495,177
35,1,446,153,516,288
35,2,499,199,572,321
35,3,94,38,140,87
35,4,251,105,317,175
35,5,254,238,336,322
35,6,349,116,420,229
35,7,287,74,325,131
35,8,292,32,335,78
35,9,245,158,314,241
35,10,409,36,444,78
35,11,166,70,213,150
35,18,54,146,167,258
35,19,436,92,495,178
36,1,446,153,516,287
36,2,498,199,572,320
36,3,94,38,140,87
36,4,251,105,317,175
36,5,254,238,336,322
36,6,349,116,420,228
36,7,286,74,325,131
36,8,293,32,335,76
36,9,245,158,314,241
36,10,409,36,444,78
36,11,166,70,213,150
36,18,53,145,168,258
36,19,436,92,495,178
36,20,351,115,418,179
37,1,445,153,517,289
37,2,498,199,572,319
37,3,94,38,141,88
37,4,251,105,317,175
37,5,252,238,338,327
37,6,349,116,420,228
37,7,287,74,325,131
37,8,293,32,335,77
37,9,245,158,314,241
37,10,409,36,444,78
37,11,166,70,213,150
37,18,53,144,168,258
37,19,434,92,493,178
37,20,352,115,417,178
38,1,446,154,517,289
38,2,498,199,571,317
38,3,94,38,141,88
38,4,251,105,317,175
38,5,251,238,339,329
38,6,349,116,420,228
38,7,286,74,325,131
38,8,294,32,334,75
38,9,245,158,314,240
38,10,409,36,444,78
38,11,165,69,213,150
38,18,53,144,168,258
38,19,435,92,494,178
38,20,352,115,417,178
39,1,446,155,517,288
39,2,498,199,571,315
39,3,94,38,141,88
39,4,251,105,317,175
39,5,251,238,340,329
39,6,349,116,421,230
39,7,286,74,325,131
39,8,294,32,334,75
39,9,245,158,314,240
39,10,409,36,444,78
39,11,165,69,213,150
39,18,53,143,169,258
39,19,434,92,493,179
39,20,348,115,422,187
39,21,448,127,502,179
40,1,446,156,518,288
40,2,499,199,571,315
40,3,94,38,141,89
40,4,251,105,317,175
40,5,251,238,340,330
40,6,349,116,421,231
40,7,286,74,325,131
40,8,294,32,335,75
40,9,245,158,314,240
40,10,409,37,444,78
40,11,165,69,213,150
40,18,53,143,169,258
40,19,433,92,493,179
40,20,348,116,423,188
40,21,452,127,506,179
41,1,446,156,518,288
41,2,498,199,571,314
41,3,94,38,141,89
41,4,251,105,317,175
41,5,251,238,340,331
41,6,350,116,421,231
41,7,286,74,325,131
41,8,294,32,335,75
41,9,245,158,314,240
41,10,409,37,444,78
41,11,165,69,213,150
41,18,53,143,169,258
41,19,433,92,493,179
41,20,347,116,423,190
41,21,454,127,507,179
42,1,446,156,518,288
42,2,498,199,571,314
42,3,94,38,141,89
42,4,251,105,317,175
42,5,251,238,340,330
42,6,349,117,420,230
42,7,286,74,325,131
42,8,294,32,335,75
42,9,245,158,314,241
42,10,410,37,444,78
42,11,165,69,213,150
42,18,53,143,169,257
42,19,433,92,492,179
42,20,347,116,422,190
42,21,455,127,508,179
43,1,446,157,518,288
43,2,499,200,572,315
43,3,94,37,141,89
43,4,251,105,317,175
43,5,251,238,339,330
43,6,350,117,420,229
43,7,286,74,325,131
43,8,294,32,335,75
43,9,244,158,315,241
43,10,410,37,444,78
43,11,166,70,214,150
43,18,52,143,169,257
43,19,431,93,488,179
43,20,348,117,422,189
43,21,455,127,507,179
44,1,446,158,518,288
44,2,499,200,573,317
44,3,94,37,141,89
44,4,251,105,317,175
44,5,251,238,340,331
44,6,349,117,420,229
44,7,285,74,325,131
44,8,294,32,335,75
44,9,245,158,315,241
44,10,410,37,444,78
44,11,166,70,214,150
44,18,53,143,169,257
44,19,430,93,486,179
44,20,346,117,424,194
44,21,456,127,507,179
45,1,446,159,518,290
45,2,499,201,574,320
45,3,94,36,141,89
45,4,250,105,318,177
45,5,251,238,339,331
45,6,349,117,421,231
45,7,285,73,325,131
45,8,293,32,335,76
45,9,245,158,315,241
45,10,410,37,444,78
45,11,166,70,214,150
45,18,53,143,169,257
45,19,433,92,490,179
45,20,346,117,425,196
45,21,455,127,506,179
46,1,446,160,519,290
46,2,498,201,575,323
46,3,94,36,141,89
46,4,249,105,318,177
46,5,251,238,339,331
46,6,350,117,421,231
46,7,285,73,325,131
46,8,292,32,335,76
46,9,245,158,315,242
46,10,410,37,444,78
46,11,167,70,213,150
46,18,52,141,170,257
46,19,432,93,486,179
46,20,345,117,426,197
46,21,456,127,506,179
47,1,445,160,519,290
47,2,498,201,575,324
47,3,94,35,141,89
47,4,249,106,318,178
47,5,251,238,339,331
47,6,350,117,421,231
47,7,285,73,325,131
47,8,292,32,335,76
47,9,245,158,316,242
47,10,410,37,444,78
47,11,167,70,213,149
47,18,52,141,170,257
47,19,431,93,485,179
47,20,344,117,427,199
47,21,456,126,506,179
48,1,445,160,519,290
48,2,499,201,575,322
48,3,94,35,141,89
48,4,249,106,318,178
48,5,251,238,339,331
48,6,350,117,421,232
48,7,285,72,325,131
48,8,292,32,335,76
48,9,245,158,315,242
48,10,410,38,444,78
48,11,167,70,213,149
48,18,52,140,170,257
48,19,431,94,484,178
48,20,344,117,428,200
48,21,457,126,505,179
49,1,445,160,519,289
49,2,500,201,574,322
49,3,94,35,141,88
49,4,249,106,318,178
49,5,251,238,339,331
49,6,350,117,421,232
49,7,284,72,325,131
49,8,292,32,335,77
49,9,245,158,315,242
49,10,410,38,444,78
49,11,167,70,213,149
49,18,52,141,169,257
49,19,431,94,483,178
49,20,343,118,428,202
49,21,457,126,505,179
50,1,445,160,519,291
50,2,500,201,574,322
50,3,94,35,140,88
50,4,249,106,318,179
50,5,251,238,339,331
50,6,350,116,421,232
50,7,284,72,325,131
50,8,292,32,335,77
50,9,245,158,315,242
50,10,410,38,444,78
50,11,167,70,213,149
50,18,53,141,172,259
50,19,432,94,483,178
50,20,343,118,429,203
50,21,457,126,504,179
51,1,444,161,520,292
51,2,499,202,575,325
51,3,94,35,140,88
51,4,249,106,318,179
51,5,251,238,339,331
51,6,350,116,421,232
51,7,284,72,325,131
51,8,292,32,335,77
51,9,245,158,315,242
51,10,410,38,444,78
51,11,167,70,213,149
51,18,53,142,170,257
51,19,432,94,483,177
51,20,342,118,430,205
51,21,457,126,504,178
52,1,445,161,519,291
52,2,499,202,575,326
52,3,94,35,140,88
52,4,250,106,317,178
52,5,252,238,338,329
52,6,350,116,421,232
52,7,284,72,324,131
52,8,292,32,335,78
52,9,245,158,315,242
52,10,410,38,443,78
52,11,167,70,213,149
52,18,53,141,172,258
52,19,434,92,485,177
52,20,346,117,424,195
52,21,457,126,503,179
53,1,444,162,519,291
53,2,499,202,574,327
53,3,94,35,140,88
53,4,250,106,317,178
53,5,253,238,338,329
53,6,350,116,421,232
53,7,284,73,324,133
53,8,292,32,335,77
53,9,245,158,315,242
53,10,410,38,443,78
53,11,167,70,213,149
53,18,53,141,173,258
53,19,435,92,487,177
53,20,344,117,426,201
53,21,455,126,500,179
54,1,443,163,520,295
54,2,499,202,575,327
54,3,93,34,141,88
54,4,250,107,317,178
54,5,252,239,338,329
54,6,350,117,421,232
54,7,284,73,324,132
54,8,292,32,334,77
54,9,245,158,315,242
54,10,410,38,443,78
54,11,167,70,213,149
54,18,53,140,174,259
54,19,435,92,487,177
54,20,344,117,427,203
54,21,455,126,500,178
55,1,443,164,520,298
55,2,499,202,574,327
55,3,93,34,141,88
55,4,250,107,317,178
55,5,251,238,339,330
55,6,350,117,421,232
55,7,284,73,324,133
55,8,292,32,334,77
55,9,245,158,315,242
55,10,410,38,443,78
55,11,167,70,213,149
55,18,53,140,175,259
55,19,436,91,488,177
55,20,343,117,427,204
55,21,455,126,500,178
56,1,443,165,520,299
56,2,500,202,574,327
56,3,93,34,140,88
56,4,250,107,317,178
56,5,251,238,339,330
56,6,350,117,421,232
56,7,284,73,324,133
56,8,292,32,334,77
56,9,245,158,315,242
56,10,411,39,443,78
