frame,person_id,anomaly_type,timestamp,timestamp_sec,bbox,duration_sec
160,4,Looking Away,00:05,5.338666666666667,"(314,421,728,1068)",0.5004999999999997
161,1,Looking Away,00:05,5.372033333333333,"(1107,408,1672,982)",0.5004999999999997
165,1,Excessive Head Turn,00:05,5.5055000000000005,"(1118,413,1678,977)",0.5005000000000006
165,1,Excessive Hand Movement,00:05,5.5055000000000005,"(1118,413,1678,977)",0.5338666666666674
166,2,Excessive Head Turn,00:05,5.538866666666666,"(1412,338,1665,580)",0.5004999999999997
168,2,Excessive Hand Movement,00:05,5.6056,"(1413,339,1661,582)",0.6006
172,4,Excessive Head Turn,00:05,5.739066666666667,"(326,428,782,1070)",0.5005000000000006
175,2,Looking Away,00:05,5.839166666666666,"(1413,339,1653,585)",0.5004999999999997
176,1,Looking Away,00:05,5.872533333333333,"(1117,441,1665,979)",0.5004999999999997
176,4,Looking Away,00:05,5.872533333333333,"(320,424,787,1068)",0.5338666666666665
179,4,Excessive Hand Movement,00:05,5.9726333333333335,"(318,423,788,1067)",0.767433333333333
180,1,Excessive Head Turn,00:06,6.006,"(1113,440,1669,982)",0.5004999999999997
180,1,Excessive Hand Movement,00:06,6.006,"(1113,440,1669,982)",0.5004999999999997
181,2,Excessive Head Turn,00:06,6.039366666666667,"(1411,337,1645,585)",0.5005000000000006
183,2,Excessive Hand Movement,00:06,6.1061000000000005,"(1411,336,1641,581)",0.5005000000000006
187,4,Excessive Head Turn,00:06,6.239566666666667,"(301,424,772,1068)",0.5004999999999997
190,2,Looking Away,00:06,6.339666666666667,"(1396,336,1629,582)",0.5005000000000006
191,1,Looking Away,00:06,6.373033333333334,"(1099,406,1680,980)",0.5005000000000006
191,4,Looking Away,00:06,6.373033333333334,"(290,424,745,1068)",0.5005000000000006
194,4,Excessive Hand Movement,00:06,6.473133333333333,"(308,423,764,1067)",0.5004999999999997
195,10,Looking Away,00:06,6.5065,"(604,151,872,1025)",
196,1,Excessive Head Turn,00:06,6.539866666666667,"(1095,395,1680,982)",0.5338666666666665
196,1,Excessive Hand Movement,00:06,6.539866666666667,"(1095,395,1680,982)",0.5338666666666665
196,2,Excessive Head Turn,00:06,6.539866666666667,"(1368,333,1619,580)",0.5004999999999997
198,2,Excessive Hand Movement,00:06,6.6066,"(1361,333,1619,582)",0.5004999999999997
199,10,Excessive Head Turn,00:06,6.639966666666667,"(602,141,876,1025)",
202,4,Excessive Head Turn,00:06,6.740066666666666,"(311,419,772,1066)",0.5004999999999997
205,2,Looking Away,00:06,6.840166666666667,"(1351,331,1622,579)",0.5004999999999997
206,1,Looking Away,00:06,6.8735333333333335,"(1099,392,1677,983)",0.5004999999999997
206,4,Looking Away,00:06,6.8735333333333335,"(308,418,773,1068)",0.5004999999999997
209,4,Excessive Hand Movement,00:06,6.973633333333334,"(304,418,769,1068)",0.5005000000000006
210,10,Looking Away,00:07,7.007000000000001,"(617,146,890,1025)",0.5005000000000006
211,1,Excessive Head Turn,00:07,7.040366666666666,"(1104,396,1678,983)",0.5004999999999997
211,1,Excessive Hand Movement,00:07,7.040366666666666,"(1104,396,1678,983)",0.5004999999999997
211,2,Excessive Head Turn,00:07,7.040366666666666,"(1352,334,1629,584)",0.5004999999999997
213,2,Excessive Hand Movement,00:07,7.1071,"(1358,332,1633,583)",0.5004999999999997
214,10,Excessive Head Turn,00:07,7.140466666666667,"(629,140,908,1022)",0.5004999999999997
215,10,Excessive Hand Movement,00:07,7.1738333333333335,"(629,138,911,1022)",
220,2,Looking Away,00:07,7.3406666666666665,"(1388,332,1641,580)",0.5004999999999997
223,1,Looking Away,00:07,7.440766666666667,"(1119,409,1687,977)",0.5672333333333333
225,10,Looking Away,00:07,7.5075,"(644,134,938,1000)",0.5004999999999997
226,1,Excessive Head Turn,00:07,7.540866666666667,"(1122,414,1688,977)",0.5005000000000006
226,2,Excessive Head Turn,00:07,7.540866666666667,"(1392,333,1630,576)",0.5005000000000006
229,10,Excessive Head Turn,00:07,7.6409666666666665,"(658,129,964,1019)",0.5004999999999997
233,1,Excessive Hand Movement,00:07,7.7744333333333335,"(1128,426,1691,975)",0.7340666666666671
235,2,Looking Away,00:07,7.841166666666667,"(1390,329,1626,578)",0.5005000000000006
238,1,Looking Away,00:07,7.9412666666666665,"(1131,443,1687,978)",0.5004999999999997
241,1,Excessive Head Turn,00:08,8.041366666666667,"(1131,454,1685,981)",0.5004999999999997
241,10,Looking Away,00:08,8.041366666666667,"(712,128,1018,1029)",0.5338666666666665
241,2,Excessive Head Turn,00:08,8.041366666666667,"(1389,328,1627,578)",0.5004999999999997
244,10,Excessive Head Turn,00:08,8.141466666666666,"(756,127,1065,1029)",0.5004999999999997
248,1,Excessive Hand Movement,00:08,8.274933333333333,"(1134,471,1684,978)",0.5004999999999997
250,2,Looking Away,00:08,8.341666666666667,"(1388,325,1628,578)",0.5004999999999997
253,1,Looking Away,00:08,8.441766666666666,"(1132,482,1681,977)",0.5004999999999997
256,2,Excessive Head Turn,00:08,8.541866666666667,"(1387,324,1628,579)",0.5005000000000006
257,1,Excessive Head Turn,00:08,8.575233333333333,"(1128,484,1682,976)",0.5338666666666665
257,10,Looking Away,00:08,8.575233333333333,"(879,106,1155,908)",0.5338666666666665
260,10,Excessive Head Turn,00:08,8.675333333333333,"(884,104,1164,912)",0.5338666666666665
263,1,Excessive Hand Movement,00:08,8.775433333333334,"(1117,485,1680,975)",0.5005000000000006
263,10,Excessive Hand Movement,00:08,8.775433333333334,"(895,100,1173,899)",1.6016000000000004
264,2,Excessive Hand Movement,00:08,8.8088,"(1386,322,1629,579)",1.7016999999999998
268,1,Looking Away,00:08,8.942266666666667,"(1113,485,1677,973)",0.5005000000000006
268,4,Excessive Head Turn,00:08,8.942266666666667,"(277,377,668,1072)",2.2022000000000004
268,4,Looking Away,00:08,8.942266666666667,"(277,377,668,1072)",2.0687333333333333
269,13,Looking Away,00:08,8.975633333333333,"(1245,326,1591,568)",
272,1,Excessive Head Turn,00:09,9.075733333333334,"(1109,486,1675,975)",0.5005000000000006
276,13,Excessive Head Turn,00:09,9.209200000000001,"(1261,328,1594,568)",
276,14,Looking Away,00:09,9.209200000000001,"(919,109,1264,679)",
280,1,Excessive Hand Movement,00:09,9.342666666666666,"(1100,479,1671,973)",0.5672333333333324
